"""RT @burgerdrome: Imagine being one of Elon Musk's employees, watching your boss blaze up on live TV and knowing that if you showed up to yo…""",1
"""#ElectricCar: Elon Musk's Brain Isn't Like Yours ... https://t.co/m5fFamJqyh""",1
"""RT @AlexisRenG: Elon musk + Joe Rogan. Thank you 🙏🏽""",1
"""RT @fIame: elon musk talking about electric cars but smoking gas?? make up your mind""",0
"""RT @burgerdrome: Imagine being one of Elon Musk's employees, watching your boss blaze up on live TV and knowing that if you showed up to yo…""",1
"""RT @StilettoRoyalty: Morning. Elon Musk hitting a blunt on a podcast, while Telsa drug tests its workers, highlights the fact that marijuan…""",1
"""Moving 2 of 7 Tesla colors off menu on Wednesday to simplify manufacturing
https://t.co/iDXGXNvTbK
@elonmusk @Tesla""",0
"""Elon musk looks like he'd have an unpleasant kink/curve in his dick""",0
"""RT @BernieSanders: We need to expand, not eliminate, the collective bargaining rights of all Americans. I stand with the workers at Tesla w…""",1
"""I liked a @YouTube video https://t.co/apEFUuLFEa Joe Rogan - Elon Musk on the Future of Fossil Fuel""",1
"""@GlobalHelpdotca @elonmusk Dude! Get some help. You have an obsessive fixation on Elon Musk. He's not going to talk… https://t.co/FpfLLAbZdK""",0
"""RT @ufobri: you all supported me when i wanted to fuck pennywise. 
you all supported me when i wanted to fuck venom.
if you can’t support m…""",0
"""RT @ufobri: i never wanted to admit this but i feel the need to get it off my chest... i don’t like him as a person but i lowkey wanna fuck…""",1
"""@zerohedge People have a lot of money tied up in Elon Musk""",1
"""😂😂😂😂😂 why does Elon Musk look like he was expecting to feel it hit one second after his first pull???

😂😂😂 https://t.co/CfOMaz8AuK""",1
"""RT @KEEMSTAR: WTF!

Joe Rogan - Elon Musk confirms Alex Jones theories https://t.co/9w9jaFvaMH""",1
"""RT @yucktales: the mustard on my sandwich is elon musk smoking a joint https://t.co/iCwdyIseQ1""",1
"""Elon Musk Says Moving 2 Of 7 Tesla Colors Off Menu To Simplify Manufacturing: Tweet #elonmusk #rwsla 

https://t.co/yCAV1AnAKR""",0
"""Love is the answer.
-Elon Musk""",1
"""I liked a @YouTube video https://t.co/9h8yOb7Mkw ✪ THIS IS EPIC: Elon Musk gives a rare glimpse into HOW HIS MIND WORKS""",0
"""RT @Inc: Why worship heroes from afar when the people who can help us become our best selves are close at hand? @johnhall https://t.co/XeJ1…""",1
